time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
1.770,0.032696,-0.031232,1.044320,1.33,-3.08,0.28
1.780,0.029280,-0.029768,1.041880,1.26,-2.94,0.42
1.790,0.030256,-0.033184,1.042368,1.33,-2.94,0.56
1.800,0.029280,-0.031720,1.041392,1.40,-3.01,0.35
1.810,0.031232,-0.030744,1.045296,1.33,-2.94,0.49
1.820,0.032208,-0.030256,1.042368,1.40,-2.94,0.49
1.830,0.032208,-0.030256,1.043344,1.33,-3.01,0.42
1.840,0.028792,-0.029768,1.043344,1.26,-2.94,0.42
1.850,0.032696,-0.030256,1.041392,1.40,-2.94,0.49
1.860,0.028304,-0.031720,1.042368,1.26,-2.94,0.42
1.870,0.030256,-0.031720,1.042368,1.40,-2.94,0.56
1.880,0.029768,-0.030744,1.041392,1.33,-3.01,0.49
1.890,0.033672,-0.029768,1.043344,1.40,-2.94,0.49
1.900,0.028792,-0.031232,1.040904,1.33,-2.94,0.56
1.910,0.030744,-0.032208,1.040904,1.19,-2.94,0.49
1.920,0.030744,-0.030744,1.042856,1.33,-3.01,0.49
1.930,0.031720,-0.032696,1.043832,1.33,-2.87,0.56
1.940,0.031720,-0.029768,1.044320,1.40,-3.01,0.49
1.950,0.032208,-0.031232,1.042856,1.26,-2.80,0.56
1.960,0.030256,-0.031720,1.043344,1.47,-3.01,0.56
1.970,0.028792,-0.031232,1.042368,1.40,-2.94,0.49
1.980,0.031232,-0.029280,1.043344,1.33,-2.94,0.56
1.990,0.030744,-0.031720,1.041880,1.33,-2.94,0.49
2.000,0.032208,-0.031720,1.045296,1.33,-2.94,0.42
2.010,0.028792,-0.031232,1.043832,1.33,-3.01,0.49
2.020,0.030256,-0.030744,1.040904,1.26,-2.94,0.49
2.030,0.030256,-0.032208,1.041392,1.33,-2.94,0.42
2.040,0.032696,-0.031232,1.043832,1.40,-2.94,0.49
2.050,0.031720,-0.030256,1.043344,1.26,-2.94,0.49
2.060,0.030256,-0.030744,1.042856,1.40,-2.94,0.42
2.070,0.028792,-0.030256,1.043344,1.33,-3.08,0.35
2.080,0.032696,-0.030256,1.042856,1.40,-3.01,0.56
2.090,0.031232,-0.028304,1.043344,1.33,-2.94,0.56
2.100,0.028792,-0.029280,1.042856,1.26,-2.94,0.42
2.110,0.030744,-0.031720,1.042856,1.40,-3.01,0.49
2.120,0.029768,-0.030744,1.044320,1.33,-2.94,0.49
2.130,0.030744,-0.031232,1.041880,1.33,-3.01,0.42
2.140,0.029768,-0.031232,1.041880,1.33,-2.94,0.56
2.150,0.030256,-0.032208,1.039928,1.33,-3.01,0.56
2.160,0.031720,-0.030744,1.042856,1.40,-2.94,0.56
2.170,0.029768,-0.031720,1.044320,1.33,-3.01,0.49
2.180,0.030744,-0.030744,1.041880,1.33,-2.94,0.42
2.190,0.030256,-0.028304,1.040904,1.19,-2.94,0.49
2.200,0.035136,-0.031720,1.045784,1.40,-3.08,0.49
2.210,0.031232,-0.030744,1.042368,1.33,-2.94,0.49
2.220,0.028304,-0.031720,1.043344,1.26,-3.01,0.35
2.230,0.030256,-0.029768,1.042368,1.33,-2.87,0.49
2.240,0.029768,-0.031720,1.042856,1.33,-2.94,0.56
2.250,0.032208,-0.030256,1.043832,1.47,-2.94,0.56
2.260,0.030744,-0.030256,1.042368,1.19,-2.87,0.42
2.270,0.030744,-0.030744,1.041392,1.33,-2.94,0.49
2.280,0.032208,-0.031232,1.044808,1.47,-2.94,0.49
2.290,0.030744,-0.030744,1.043832,1.26,-2.94,0.56
2.300,0.030744,-0.030256,1.042368,1.33,-3.01,0.56
2.310,0.032208,-0.030744,1.040416,1.26,-3.01,0.56
2.320,0.029280,-0.031720,1.044320,1.40,-3.01,0.56
2.330,0.029280,-0.029768,1.044320,1.26,-2.94,0.49
2.340,0.029768,-0.030744,1.039928,1.33,-3.01,0.49
2.350,0.032208,-0.032696,1.041392,1.33,-2.94,0.49
2.360,0.032696,-0.031720,1.042856,1.40,-2.94,0.56
2.370,0.031720,-0.031720,1.041880,1.40,-3.01,0.56
2.380,0.029768,-0.032696,1.042368,1.26,-2.87,0.49
2.390,0.031720,-0.033184,1.042856,1.40,-2.94,0.42
2.400,0.032696,-0.030256,1.044320,1.40,-2.87,0.49
2.410,0.030256,-0.030744,1.044320,1.26,-2.94,0.49
2.420,0.029280,-0.030256,1.041880,1.33,-2.94,0.49
2.430,0.029768,-0.030744,1.041392,1.19,-3.01,0.49
2.440,0.029768,-0.030256,1.043832,1.33,-2.94,0.49
2.450,0.031720,-0.029768,1.043832,1.33,-3.01,0.49
2.460,0.027328,-0.029280,1.041392,1.26,-3.01,0.35
2.470,0.031232,-0.032696,1.043832,1.33,-2.94,0.49
2.480,0.029280,-0.030744,1.042856,1.33,-2.94,0.49
2.490,0.029768,-0.031232,1.044320,1.40,-2.94,0.49
2.500,0.031232,-0.032208,1.045296,1.26,-2.87,0.49
2.510,0.030256,-0.031720,1.043344,1.33,-3.01,0.56
2.520,0.030256,-0.030256,1.044320,1.33,-2.94,0.56
2.530,0.029768,-0.032208,1.041392,1.26,-2.87,0.56
2.540,0.029768,-0.028792,1.042368,1.26,-2.94,0.49
2.550,0.028304,-0.031720,1.045296,1.33,-3.01,0.42
2.560,0.031720,-0.032696,1.042856,1.26,-2.94,0.56
2.570,0.031232,-0.030744,1.039928,1.26,-3.01,0.42
2.580,0.031720,-0.029280,1.043832,1.26,-2.94,0.49
2.590,0.031232,-0.031720,1.040416,1.26,-3.01,0.49
2.600,0.030744,-0.029280,1.042856,1.33,-3.08,0.42
2.610,0.031232,-0.030256,1.041880,1.26,-2.94,0.56
2.620,0.030256,-0.030256,1.040904,1.33,-3.01,0.49
2.630,0.030744,-0.030256,1.042856,1.33,-2.94,0.56
2.640,0.030256,-0.032208,1.042856,1.19,-3.01,0.49
2.650,0.031232,-0.031232,1.043832,1.40,-3.01,0.42
2.660,0.029768,-0.028792,1.042368,1.26,-3.01,0.49
2.670,0.032208,-0.029280,1.040416,1.26,-2.80,0.56
2.680,0.029280,-0.029768,1.043832,1.26,-2.94,0.49
2.690,0.030744,-0.027328,1.042368,1.33,-2.94,0.49
2.700,0.031720,-0.032208,1.043832,1.26,-2.87,0.49
2.710,0.031720,-0.032208,1.040904,1.26,-2.94,0.49
2.720,0.029768,-0.031232,1.043832,1.40,-2.94,0.42
2.730,0.032208,-0.032208,1.042368,1.40,-2.94,0.49
2.740,0.029768,-0.030256,1.042856,1.33,-3.01,0.49
2.750,0.031720,-0.028792,1.042368,1.19,-2.94,0.42
2.760,0.029280,-0.031232,1.040416,1.40,-2.94,0.49
2.770,0.030256,-0.030256,1.042856,1.33,-3.01,0.42
2.780,0.031720,-0.030744,1.042368,1.26,-2.94,0.49
2.790,0.030744,-0.030256,1.040904,1.33,-2.94,0.49
2.800,0.029768,-0.033184,1.042856,1.47,-3.01,0.49
2.810,0.030256,-0.032208,1.043344,1.26,-3.08,0.49
2.820,0.030256,-0.031232,1.042368,1.26,-3.01,0.49
2.830,0.031232,-0.031720,1.041392,1.26,-3.01,0.56
2.840,0.030256,-0.030256,1.042856,1.40,-3.08,0.49
2.850,0.030256,-0.031720,1.044320,1.26,-3.01,0.49
2.860,0.031232,-0.031720,1.042856,1.26,-2.94,0.56
2.870,0.029768,-0.031232,1.041880,1.33,-3.01,0.42
2.880,0.032696,-0.032696,1.041880,1.26,-3.08,0.42
2.890,0.030256,-0.030744,1.041880,1.40,-3.01,0.42
2.900,0.029768,-0.030744,1.044320,1.33,-2.94,0.56
2.910,0.030744,-0.031720,1.042856,1.26,-3.01,0.28
2.920,0.031720,-0.030256,1.043832,1.33,-3.01,0.49
2.930,0.032208,-0.030256,1.044320,1.26,-3.01,0.49
2.940,0.029768,-0.029768,1.042856,1.40,-3.01,0.49
2.950,0.030256,-0.029768,1.041880,1.26,-3.01,0.42
2.960,0.030744,-0.031232,1.042368,1.47,-3.01,0.42
2.970,0.031720,-0.030744,1.041880,1.40,-2.94,0.49
