time_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
4.500,0.023912,-0.009760,-0.976488,1.26,-2.87,0.49
4.520,0.022936,-0.012688,-0.974536,1.33,-2.87,0.42
4.540,0.021960,-0.006832,-0.973560,1.33,-3.01,0.28
4.560,0.022936,-0.007808,-0.976000,1.33,-2.87,0.49
4.580,0.022936,-0.008296,-0.974536,1.33,-2.87,0.42
4.600,0.023424,-0.009760,-0.976976,1.26,-2.87,0.35
4.620,0.021472,-0.009760,-0.976488,1.26,-2.94,0.42
4.640,0.021960,-0.009272,-0.976488,1.40,-2.87,0.49
4.660,0.020984,-0.010248,-0.975512,1.19,-2.87,0.49
4.680,0.023424,-0.010736,-0.975024,1.33,-2.94,0.28
4.700,0.024400,-0.007320,-0.976976,1.33,-2.94,0.35
4.720,0.023424,-0.007808,-0.975512,1.26,-2.87,0.35
4.740,0.021472,-0.009272,-0.975512,1.19,-2.94,0.35
4.760,0.020984,-0.007808,-0.976488,1.33,-2.87,0.42
4.780,0.023912,-0.007808,-0.974536,1.26,-2.94,0.35
4.800,0.022936,-0.008784,-0.974536,1.26,-2.87,0.35
4.820,0.022448,-0.010248,-0.975512,1.26,-2.87,0.35
4.840,0.022448,-0.009272,-0.976488,1.33,-2.94,0.35
4.860,0.021472,-0.009760,-0.975024,1.33,-3.01,0.42
4.880,0.022936,-0.009760,-0.976488,1.33,-3.01,0.35
4.900,0.022936,-0.010736,-0.977952,1.33,-2.87,0.35
4.920,0.022936,-0.008296,-0.976976,1.33,-2.87,0.42
4.940,0.020496,-0.010248,-0.976488,1.26,-2.94,0.42
4.960,0.023912,-0.009760,-0.976976,1.26,-2.87,0.35
4.980,0.023912,-0.010736,-0.976976,1.40,-2.80,0.35
